REF_DATE,GEO,North American Industry Classification System (NAICS),Energy types,UOM,VALUE
2019,Canada,Gypsum mining [212395],"Natural gas, quantity purchased (cubic metres)",Cubic metres,0.0
2019,Canada,Gypsum mining [212395],"Gasoline - aviation, quantity purchased (litres)",Litres,0.0
2019,Canada,Gypsum mining [212395],"Gasoline - motor, quantity purchased (litres)",Litres,0.0
2019,Canada,Gypsum mining [212395],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Gypsum mining [212395],"Diesel fuel, quantity purchased (litres)",Litres,
2019,Canada,Gypsum mining [212395],"Light Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Gypsum mining [212395],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Gypsum mining [212395],"Propane, quantity purchased (litres)",Litres,0.0
2019,Canada,Gypsum mining [212395],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Gypsum mining [212395],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,
2019,Canada,Gypsum mining [212395],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Gypsum mining [212395],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Gypsum mining [212395],"Water, quantity purchased (litres)",Litres,0.0
2019,Canada,Potash mining [212396],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Potash mining [212396],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Potash mining [212396],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Potash mining [212396],"Natural gas, quantity purchased (cubic metres)",Cubic metres,916563366.0
2019,Canada,Potash mining [212396],"Gasoline - aviation, quantity purchased (litres)",Litres,0.0
2019,Canada,Potash mining [212396],"Gasoline - motor, quantity purchased (litres)",Litres,
2019,Canada,Potash mining [212396],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Potash mining [212396],"Diesel fuel, quantity purchased (litres)",Litres,
2019,Canada,Potash mining [212396],"Light Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Potash mining [212396],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Potash mining [212396],"Propane, quantity purchased (litres)",Litres,
2019,Canada,Potash mining [212396],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Potash mining [212396],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,2347879193.0
2019,Canada,Potash mining [212396],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Potash mining [212396],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Potash mining [212396],"Water, quantity purchased (litres)",Litres,
2019,Canada,Peat extraction [212397],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Peat extraction [212397],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Peat extraction [212397],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Peat extraction [212397],"Natural gas, quantity purchased (cubic metres)",Cubic metres,1811085.0
2019,Canada,Peat extraction [212397],"Gasoline - aviation, quantity purchased (litres)",Litres,
2019,Canada,Peat extraction [212397],"Gasoline - motor, quantity purchased (litres)",Litres,
2019,Canada,Peat extraction [212397],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Peat extraction [212397],"Diesel fuel, quantity purchased (litres)",Litres,8793301.0
2019,Canada,Peat extraction [212397],"Light Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,Peat extraction [212397],"Heavy Fuel Oil, quantity purchased (litres)",Litres,33040.0
2019,Canada,Peat extraction [212397],"Propane, quantity purchased (litres)",Litres,143724.0
2019,Canada,Peat extraction [212397],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Peat extraction [212397],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,67917099.0
2019,Canada,Peat extraction [212397],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
